llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,212,0,130547334,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,213,0,130608352,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,214,0,130667914,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,215,0,130730215,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,216,0,130789937,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,217,0,130849597,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,218,0,130909988,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,219,0,130970266,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,220,0,131029646,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,221,0,131089573,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,222,0,131150535,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,223,0,131213232,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,224,0,131272825,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,225,0,131333073,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,226,0,131392814,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,227,0,131458874,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,228,0,131519257,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,229,0,131580435,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,230,0,131639829,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,231,0,131700804,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,232,0,131763879,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,233,0,131823684,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,234,0,131883415,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,235,0,131944513,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,236,0,132004054,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,237,0,132063856,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,238,0,132123810,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,239,0,132183968,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,240,0,132244885,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,241,0,132305178,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,242,0,132366224,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,243,0,132423966,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,244,0,132483889,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,245,0,132542658,8,0,8,0,0,0
